                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.3019,                0.71744,                 1.0734,                0.93449,                0.92813,                0.96945,                0.64258,                 1.1967,                0.53899,                 1.0423,               0.007096,               0.007096,               0.007096
                     90,                 1.2944,                0.71349,                 1.0706,                0.93399,                0.92762,                0.96929,                0.64269,                 1.1968,                0.53828,                 1.0421,               0.007063,               0.007063,               0.007063
                     91,                 1.3038,                0.71344,                 1.0788,                0.93612,                0.92762,                0.97047,                0.64284,                 1.1962,                0.53825,                 1.0417,                0.00703,                0.00703,                0.00703
                     92,                 1.3007,                0.71364,                 1.0744,                0.93026,                0.93606,                0.97085,                0.64396,                 1.1952,                0.53881,                 1.0412,               0.006997,               0.006997,               0.006997
                     93,                 1.2951,                0.71002,                 1.0723,                0.92858,                0.93581,                0.97132,                 0.6439,                 1.1942,                0.53818,                 1.0408,               0.006964,               0.006964,               0.006964
                     94,                 1.3025,                0.71633,                  1.073,                0.93303,                0.93146,                0.97178,                0.64418,                 1.1944,                0.53789,                 1.0406,               0.006931,               0.006931,               0.006931
                     95,                 1.2894,                0.70842,                 1.0703,                0.93363,                0.93174,                0.97187,                0.64503,                  1.194,                0.53787,                 1.0404,               0.006898,               0.006898,               0.006898
                     96,                 1.2939,                0.71173,                 1.0724,                0.93493,                 0.9312,                0.97179,                0.64509,                 1.1933,                0.53784,                   1.04,               0.006865,               0.006865,               0.006865
                     97,                 1.2866,                0.70918,                 1.0703,                0.93491,                0.93095,                0.97168,                  0.645,                  1.192,                0.53699,                 1.0393,               0.006832,               0.006832,               0.006832
                     98,                 1.2973,                0.70979,                 1.0711,                0.93401,                0.93033,                 0.9719,                0.64576,                 1.1913,                 0.5368,                 1.0389,               0.006799,               0.006799,               0.006799
                     99,                 1.2965,                0.71194,                 1.0733,                0.93516,                 0.9296,                0.97177,                0.64634,                 1.1913,                0.53667,                 1.0389,               0.006766,               0.006766,               0.006766
                    100,                 1.2897,                0.71522,                 1.0703,                0.93493,                0.92963,                0.97203,                0.64674,                 1.1909,                0.53578,                 1.0385,               0.006733,               0.006733,               0.006733
                    101,                 1.2965,                0.70823,                 1.0696,                0.93725,                0.92834,                0.97213,                0.64698,                 1.1903,                  0.535,                 1.0383,                 0.0067,                 0.0067,                 0.0067
                    102,                  1.281,                0.70475,                 1.0658,                0.93768,                0.92745,                0.97206,                0.64757,                 1.1899,                0.53461,                 1.0381,               0.006667,               0.006667,               0.006667
                    103,                 1.2911,                0.70485,                 1.0683,                 0.9372,                 0.9275,                0.97229,                0.64728,                 1.1901,                0.53433,                  1.038,               0.006634,               0.006634,               0.006634
                    104,                   1.28,                 0.6998,                 1.0653,                 0.9407,                0.92509,                0.97236,                0.64835,                 1.1898,                0.53403,                 1.0379,               0.006601,               0.006601,               0.006601
                    105,                 1.2775,                0.69919,                 1.0641,                 0.9411,                0.92455,                0.97244,                0.64856,                 1.1896,                0.53368,                 1.0378,               0.006568,               0.006568,               0.006568
                    106,                 1.2774,                0.70151,                 1.0638,                0.94048,                 0.9243,                0.97236,                0.64878,                 1.1897,                0.53353,                 1.0379,               0.006535,               0.006535,               0.006535
                    107,                 1.2856,                0.70324,                 1.0694,                0.94007,                0.92455,                0.97238,                0.64839,                 1.1894,                0.53336,                 1.0377,               0.006502,               0.006502,               0.006502
                    108,                 1.2806,                0.69953,                 1.0667,                0.93595,                 0.9289,                0.97225,                0.64902,                 1.1895,                0.53288,                 1.0378,               0.006469,               0.006469,               0.006469
                    109,                 1.2827,                0.70068,                 1.0672,                0.93668,                0.92813,                0.97216,                0.64903,                   1.19,                0.53286,                 1.0379,               0.006436,               0.006436,               0.006436
                    110,                 1.2804,                0.69985,                 1.0659,                0.93703,                0.92916,                 0.9722,                0.64913,                 1.1898,                0.53291,                 1.0378,               0.006403,               0.006403,               0.006403
                    111,                 1.2787,                 0.6985,                 1.0649,                0.93685,                0.92952,                0.97223,                0.64962,                 1.1892,                0.53287,                 1.0375,                0.00637,                0.00637,                0.00637
                    112,                 1.2775,                0.69499,                 1.0616,                0.93821,                0.92967,                0.97211,                0.64917,                 1.1891,                0.53277,                 1.0375,               0.006337,               0.006337,               0.006337
                    113,                 1.2779,                0.69923,                 1.0639,                0.93819,                0.92967,                0.97209,                0.64971,                 1.1892,                0.53225,                 1.0373,               0.006304,               0.006304,               0.006304
                    114,                 1.2735,                0.69526,                 1.0636,                0.93855,                0.92962,                0.97209,                0.64935,                 1.1889,                0.53169,                 1.0372,               0.006271,               0.006271,               0.006271
                    115,                 1.2739,                0.69228,                 1.0635,                0.93919,                0.92828,                0.97164,                0.64895,                 1.1883,                0.53165,                  1.037,               0.006238,               0.006238,               0.006238
                    116,                 1.2738,                0.69411,                 1.0629,                0.93754,                0.92908,                0.97157,                0.64981,                 1.1884,                0.53155,                 1.0368,               0.006205,               0.006205,               0.006205
                    117,                 1.2692,                0.68919,                 1.0607,                0.93781,                0.92967,                0.97167,                0.64949,                 1.1886,                0.53123,                 1.0369,               0.006172,               0.006172,               0.006172
                    118,                 1.2679,                0.69201,                 1.0613,                0.93836,                0.92941,                0.97157,                0.64979,                 1.1885,                0.53077,                 1.0368,               0.006139,               0.006139,               0.006139
                    119,                 1.2695,                0.69233,                 1.0603,                0.93941,                 0.9289,                0.97144,                0.64999,                 1.1882,                0.53102,                 1.0366,               0.006106,               0.006106,               0.006106
                    120,                 1.2646,                0.68523,                 1.0571,                0.93948,                0.92903,                0.97146,                0.64981,                 1.1882,                0.53085,                 1.0364,               0.006073,               0.006073,               0.006073
                    121,                 1.2684,                0.68914,                 1.0614,                0.93927,                0.92956,                0.97145,                0.65005,                 1.1886,                0.53073,                 1.0364,                0.00604,                0.00604,                0.00604
                    122,                 1.2612,                0.68897,                 1.0591,                0.93912,                0.92992,                0.97134,                0.65068,                 1.1885,                0.53021,                 1.0362,               0.006007,               0.006007,               0.006007
                    123,                 1.2665,                0.68733,                  1.062,                0.93932,                0.93039,                 0.9714,                0.65063,                 1.1888,                0.53019,                 1.0364,               0.005974,               0.005974,               0.005974
                    124,                 1.2685,                0.69064,                 1.0628,                0.93886,                0.93078,                 0.9716,                0.65057,                 1.1893,                0.52974,                 1.0363,               0.005941,               0.005941,               0.005941
                    125,                 1.2569,                0.68635,                  1.057,                 0.9384,                0.93113,                0.97159,                0.65131,                 1.1887,                0.52914,                  1.036,               0.005908,               0.005908,               0.005908
                    126,                 1.2606,                 0.6861,                 1.0581,                0.93962,                0.93069,                0.97163,                0.65162,                 1.1878,                0.52905,                 1.0357,               0.005875,               0.005875,               0.005875
                    127,                  1.259,                 0.6828,                 1.0559,                0.93912,                0.92992,                0.97187,                0.65224,                 1.1873,                0.52881,                 1.0354,               0.005842,               0.005842,               0.005842
                    128,                 1.2625,                0.68549,                 1.0583,                0.93955,                0.93024,                0.97164,                0.65241,                 1.1868,                0.52845,                 1.0352,               0.005809,               0.005809,               0.005809
                    129,                 1.2541,                0.68597,                 1.0571,                0.94075,                   0.93,                0.97156,                0.65226,                 1.1865,                0.52818,                 1.0349,               0.005776,               0.005776,               0.005776
                    130,                 1.2581,                0.68126,                 1.0574,                0.93948,                0.93223,                0.97163,                0.65235,                 1.1862,                0.52782,                 1.0347,               0.005743,               0.005743,               0.005743
                    131,                 1.2591,                0.68078,                 1.0552,                0.94058,                0.93111,                0.97168,                0.65266,                 1.1862,                0.52703,                 1.0347,                0.00571,                0.00571,                0.00571
                    132,                 1.2608,                0.68448,                 1.0576,                0.94041,                0.93069,                0.97243,                0.65265,                 1.1852,                0.52706,                 1.0343,               0.005677,               0.005677,               0.005677
                    133,                 1.2565,                 0.6829,                 1.0564,                0.93809,                0.93299,                0.97235,                0.65301,                 1.1853,                0.52601,                 1.0342,               0.005644,               0.005644,               0.005644
                    134,                 1.2522,                0.67725,                  1.055,                0.93864,                0.93274,                0.97227,                0.65337,                 1.1846,                0.52535,                 1.0339,               0.005611,               0.005611,               0.005611
                    135,                 1.2529,                0.68039,                 1.0546,                0.93872,                 0.9335,                0.97248,                0.65393,                 1.1845,                0.52514,                 1.0338,               0.005578,               0.005578,               0.005578
                    136,                 1.2531,                0.68138,                  1.055,                0.94005,                0.93325,                0.97247,                0.65392,                 1.1837,                0.52456,                 1.0333,               0.005545,               0.005545,               0.005545
                    137,                 1.2502,                0.67657,                 1.0532,                0.93944,                0.93232,                0.97244,                0.65384,                 1.1824,                0.52417,                 1.0327,               0.005512,               0.005512,               0.005512
                    138,                 1.2448,                0.67207,                 1.0525,                0.93993,                0.93197,                0.97254,                0.65427,                  1.182,                0.52404,                 1.0323,               0.005479,               0.005479,               0.005479
                    139,                 1.2437,                0.67304,                 1.0502,                0.93873,                0.93265,                0.97216,                0.65479,                 1.1817,                0.52413,                 1.0321,               0.005446,               0.005446,               0.005446
                    140,                 1.2439,                0.67023,                 1.0503,                0.93926,                0.93338,                0.97223,                 0.6551,                 1.1809,                0.52348,                 1.0317,               0.005413,               0.005413,               0.005413
                    141,                 1.2455,                0.67357,                 1.0518,                0.94033,                0.93223,                0.97171,                0.65543,                   1.18,                0.52306,                 1.0313,                0.00538,                0.00538,                0.00538
                    142,                 1.2482,                 0.6763,                 1.0531,                0.94039,                0.93299,                0.97195,                0.65574,                 1.1803,                 0.5227,                 1.0312,               0.005347,               0.005347,               0.005347
                    143,                 1.2408,                0.66972,                 1.0497,                0.94068,                0.93248,                0.97157,                0.65499,                 1.1798,                0.52232,                 1.0311,               0.005314,               0.005314,               0.005314
